Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3nxa_14632997_uff_E=572.92,-6.6,0.0,0.0
3nxa_14632997_uff_E=572.92,-6.3,34.567,31.969
3nxa_14632997_uff_E=572.92,-6.1,34.308,32.09
3nxa_14632997_uff_E=572.92,-6.0,54.315,52.549
3nxa_14632997_uff_E=572.92,-5.8,39.961,38.326
3nxa_14632997_uff_E=572.92,-5.8,55.014,53.669
3nxa_14632997_uff_E=572.92,-5.8,32.908,30.119
3nxa_14632997_uff_E=572.92,-5.7,34.521,31.947
3nxa_14632997_uff_E=572.92,-5.7,54.951,53.435
3nxa_92776_uff_E=205.59,-5.4,0.0,0.0
3nxa_92776_uff_E=205.59,-5.4,2.325,1.451
3nxa_92776_uff_E=205.59,-5.4,39.49,36.992
3nxa_92776_uff_E=205.59,-5.1,39.05,36.674
3nxa_92776_uff_E=205.59,-5.1,3.923,1.247
3nxa_92776_uff_E=205.59,-5.0,3.667,1.484
3nxa_92776_uff_E=205.59,-5.0,4.543,1.933
3nxa_92776_uff_E=205.59,-4.9,3.171,2.102
3nxa_92776_uff_E=205.59,-4.8,53.243,51.053
3nxa_5470187_uff_E=410.36,-6.6,0.0,0.0
3nxa_5470187_uff_E=410.36,-6.3,53.871,51.546
3nxa_5470187_uff_E=410.36,-6.3,54.707,52.339
3nxa_5470187_uff_E=410.36,-6.1,3.266,2.188
3nxa_5470187_uff_E=410.36,-6.0,39.888,38.864
3nxa_5470187_uff_E=410.36,-6.0,2.413,1.586
3nxa_5470187_uff_E=410.36,-5.7,39.604,38.174
3nxa_5470187_uff_E=410.36,-5.6,47.075,44.993
3nxa_5470187_uff_E=410.36,-5.5,40.566,39.011
3nxa_93135_uff_E=133.98,-6.5,0.0,0.0
3nxa_93135_uff_E=133.98,-6.5,38.633,36.92
3nxa_93135_uff_E=133.98,-6.3,39.932,37.481
3nxa_93135_uff_E=133.98,-6.3,38.943,37.73
3nxa_93135_uff_E=133.98,-6.1,19.241,17.202
3nxa_93135_uff_E=133.98,-6.1,53.22,51.044
3nxa_93135_uff_E=133.98,-6.0,39.787,37.604
3nxa_93135_uff_E=133.98,-6.0,39.996,38.451
3nxa_93135_uff_E=133.98,-6.0,53.797,51.726
3nxa_11117927_uff_E=149.53,-6.5,0.0,0.0
3nxa_11117927_uff_E=149.53,-6.3,6.974,1.906
3nxa_11117927_uff_E=149.53,-6.1,2.549,1.756
3nxa_11117927_uff_E=149.53,-6.1,18.026,16.066
3nxa_11117927_uff_E=149.53,-6.1,39.358,37.267
3nxa_11117927_uff_E=149.53,-6.1,18.721,15.474
3nxa_11117927_uff_E=149.53,-6.0,18.057,15.85
3nxa_11117927_uff_E=149.53,-5.8,21.976,20.512
3nxa_11117927_uff_E=149.53,-5.8,4.017,2.832
3nxa_14367555_uff_E=144.15,-6.3,0.0,0.0
3nxa_14367555_uff_E=144.15,-6.3,4.467,2.523
3nxa_14367555_uff_E=144.15,-6.2,4.037,2.273
3nxa_14367555_uff_E=144.15,-6.2,24.79,22.884
3nxa_14367555_uff_E=144.15,-6.2,16.946,14.497
3nxa_14367555_uff_E=144.15,-6.1,7.855,2.576
3nxa_14367555_uff_E=144.15,-6.1,17.418,14.681
3nxa_14367555_uff_E=144.15,-5.8,25.347,23.884
3nxa_14367555_uff_E=144.15,-5.8,9.651,5.219
3nxa_79035_uff_E=1568.10,-5.3,0.0,0.0
3nxa_79035_uff_E=1568.10,-5.2,22.157,20.793
3nxa_79035_uff_E=1568.10,-5.2,21.972,20.621
3nxa_79035_uff_E=1568.10,-5.1,2.256,0.984
3nxa_79035_uff_E=1568.10,-5.1,2.843,0.806
3nxa_79035_uff_E=1568.10,-5.1,2.81,1.1
3nxa_79035_uff_E=1568.10,-5.0,21.875,20.312
3nxa_79035_uff_E=1568.10,-5.0,37.642,36.189
3nxa_79035_uff_E=1568.10,-4.9,37.924,36.109
3nxa_124072_uff_E=204.81,-7.3,0.0,0.0
3nxa_124072_uff_E=204.81,-7.1,7.911,1.568
3nxa_124072_uff_E=204.81,-6.6,40.717,37.787
3nxa_124072_uff_E=204.81,-6.5,2.529,1.828
3nxa_124072_uff_E=204.81,-6.4,8.147,4.597
3nxa_124072_uff_E=204.81,-6.4,8.788,3.375
3nxa_124072_uff_E=204.81,-6.4,13.292,7.911
3nxa_124072_uff_E=204.81,-6.3,23.578,19.463
3nxa_124072_uff_E=204.81,-6.3,14.943,10.548
3nxa_71459743_uff_E=496.44,-7.6,0.0,0.0
3nxa_71459743_uff_E=496.44,-7.4,3.607,1.993
3nxa_71459743_uff_E=496.44,-7.3,4.65,2.817
3nxa_71459743_uff_E=496.44,-7.3,4.859,2.562
3nxa_71459743_uff_E=496.44,-7.2,6.337,4.3
3nxa_71459743_uff_E=496.44,-7.0,4.297,1.78
3nxa_71459743_uff_E=496.44,-7.0,3.176,2.237
3nxa_71459743_uff_E=496.44,-6.8,3.811,2.28
3nxa_71459743_uff_E=496.44,-6.7,2.17,1.625
3nxa_71457832_uff_E=549.13,-7.9,0.0,0.0
3nxa_71457832_uff_E=549.13,-7.6,15.858,9.946
3nxa_71457832_uff_E=549.13,-7.5,5.024,3.448
3nxa_71457832_uff_E=549.13,-7.5,15.676,9.724
3nxa_71457832_uff_E=549.13,-7.3,4.643,3.221
3nxa_71457832_uff_E=549.13,-7.3,3.621,2.146
3nxa_71457832_uff_E=549.13,-7.2,19.71,10.474
3nxa_71457832_uff_E=549.13,-7.1,6.62,3.208
3nxa_71457832_uff_E=549.13,-7.0,27.204,23.638
3nxa_92231_uff_E=1727.92,-6.2,0.0,0.0
3nxa_92231_uff_E=1727.92,-6.1,53.449,51.717
3nxa_92231_uff_E=1727.92,-6.0,40.361,38.285
3nxa_92231_uff_E=1727.92,-5.9,23.072,21.115
3nxa_92231_uff_E=1727.92,-5.9,39.498,38.112
3nxa_92231_uff_E=1727.92,-5.9,2.761,1.613
3nxa_92231_uff_E=1727.92,-5.6,53.588,51.816
3nxa_92231_uff_E=1727.92,-5.6,23.465,21.569
3nxa_92231_uff_E=1727.92,-5.6,33.265,31.41
3nxa_18818_uff_E=1441.07,-5.2,0.0,0.0
3nxa_18818_uff_E=1441.07,-5.1,30.268,28.847
3nxa_18818_uff_E=1441.07,-5.1,22.496,20.557
3nxa_18818_uff_E=1441.07,-5.1,21.805,19.957
3nxa_18818_uff_E=1441.07,-5.0,21.403,19.419
3nxa_18818_uff_E=1441.07,-5.0,3.944,1.225
3nxa_18818_uff_E=1441.07,-4.9,3.47,1.439
3nxa_18818_uff_E=1441.07,-4.9,37.655,36.309
3nxa_18818_uff_E=1441.07,-4.8,38.263,36.924
3nxa_7463_uff_E=91.91,-5.5,0.0,0.0
3nxa_7463_uff_E=91.91,-5.3,38.042,36.549
3nxa_7463_uff_E=91.91,-5.2,37.842,36.378
3nxa_7463_uff_E=91.91,-5.1,3.307,1.667
3nxa_7463_uff_E=91.91,-5.0,2.038,1.318
3nxa_7463_uff_E=91.91,-5.0,22.663,20.443
3nxa_7463_uff_E=91.91,-5.0,22.685,20.442
3nxa_7463_uff_E=91.91,-5.0,21.841,19.664
3nxa_7463_uff_E=91.91,-4.7,51.798,49.919
3nxa_445639_uff_E=80.35,-4.9,0.0,0.0
3nxa_445639_uff_E=80.35,-4.6,2.601,1.204
3nxa_445639_uff_E=80.35,-4.6,20.149,17.151
3nxa_445639_uff_E=80.35,-4.5,5.431,2.098
3nxa_445639_uff_E=80.35,-4.5,20.014,17.634
3nxa_445639_uff_E=80.35,-4.5,4.253,1.772
3nxa_445639_uff_E=80.35,-4.5,16.505,14.19
3nxa_445639_uff_E=80.35,-4.4,3.009,2.023
3nxa_445639_uff_E=80.35,-4.4,18.242,15.183
3nxa_5356544_uff_E=169.96,-5.9,0.0,0.0
3nxa_5356544_uff_E=169.96,-5.7,17.73,15.321
3nxa_5356544_uff_E=169.96,-5.7,17.546,15.253
3nxa_5356544_uff_E=169.96,-5.4,3.676,2.005
3nxa_5356544_uff_E=169.96,-5.4,3.516,1.955
3nxa_5356544_uff_E=169.96,-5.3,18.358,15.602
3nxa_5356544_uff_E=169.96,-5.1,23.335,21.452
3nxa_5356544_uff_E=169.96,-5.0,22.976,21.215
3nxa_5356544_uff_E=169.96,-5.0,23.727,21.486
3nxa_31253_uff_E=90.99,-4.6,0.0,0.0
3nxa_31253_uff_E=90.99,-4.4,38.304,36.626
3nxa_31253_uff_E=90.99,-4.4,38.403,36.593
3nxa_31253_uff_E=90.99,-4.3,37.911,36.681
3nxa_31253_uff_E=90.99,-4.3,21.174,19.382
3nxa_31253_uff_E=90.99,-4.2,21.953,19.976
3nxa_31253_uff_E=90.99,-4.1,20.87,19.252
3nxa_31253_uff_E=90.99,-4.0,38.107,36.61
3nxa_31253_uff_E=90.99,-3.9,38.435,37.002
3nxa_6549_uff_E=118.54,-4.5,0.0,0.0
3nxa_6549_uff_E=118.54,-4.5,22.491,21.159
3nxa_6549_uff_E=118.54,-4.5,2.609,1.024
3nxa_6549_uff_E=118.54,-4.5,39.365,37.742
3nxa_6549_uff_E=118.54,-4.4,22.224,20.601
3nxa_6549_uff_E=118.54,-4.4,22.533,20.484
3nxa_6549_uff_E=118.54,-4.3,38.765,37.269
3nxa_6549_uff_E=118.54,-4.3,22.858,20.705
3nxa_6549_uff_E=118.54,-4.2,24.4,22.517
3nxa_6436348_uff_E=402.80,-7.0,0.0,0.0
3nxa_6436348_uff_E=402.80,-6.7,52.772,50.887
3nxa_6436348_uff_E=402.80,-6.4,52.731,50.809
3nxa_6436348_uff_E=402.80,-6.4,52.845,50.876
3nxa_6436348_uff_E=402.80,-6.4,38.621,37.419
3nxa_6436348_uff_E=402.80,-6.3,4.762,1.922
3nxa_6436348_uff_E=402.80,-6.0,18.818,16.358
3nxa_6436348_uff_E=402.80,-5.9,40.485,38.729
3nxa_6436348_uff_E=402.80,-5.9,4.754,1.573
3nxa_445858_uff_E=177.42,-6.4,0.0,0.0
3nxa_445858_uff_E=177.42,-5.9,21.992,19.576
3nxa_445858_uff_E=177.42,-5.8,23.272,20.685
3nxa_445858_uff_E=177.42,-5.4,20.685,18.33
3nxa_445858_uff_E=177.42,-5.4,22.225,19.614
3nxa_445858_uff_E=177.42,-5.4,21.328,18.391
3nxa_445858_uff_E=177.42,-5.4,30.457,28.403
3nxa_445858_uff_E=177.42,-5.3,38.39,36.305
3nxa_445858_uff_E=177.42,-5.3,21.994,19.703
3nxa_2758_uff_E=344.57,-5.7,0.0,0.0
3nxa_2758_uff_E=344.57,-5.6,3.302,0.898
3nxa_2758_uff_E=344.57,-5.5,22.742,21.553
3nxa_2758_uff_E=344.57,-5.3,22.773,21.613
3nxa_2758_uff_E=344.57,-5.2,38.464,36.824
3nxa_2758_uff_E=344.57,-5.2,22.905,21.683
3nxa_2758_uff_E=344.57,-5.1,38.08,36.497
3nxa_2758_uff_E=344.57,-4.8,23.345,22.084
3nxa_2758_uff_E=344.57,-4.8,16.872,15.17
3nxa_637517_uff_E=69.17,-4.8,0.0,0.0
3nxa_637517_uff_E=69.17,-4.6,23.037,20.322
3nxa_637517_uff_E=69.17,-4.5,20.344,17.808
3nxa_637517_uff_E=69.17,-4.4,27.65,25.065
3nxa_637517_uff_E=69.17,-4.4,22.289,19.9
3nxa_637517_uff_E=69.17,-4.4,6.793,2.831
3nxa_637517_uff_E=69.17,-4.3,4.148,2.277
3nxa_637517_uff_E=69.17,-4.3,20.435,17.803
3nxa_637517_uff_E=69.17,-4.3,9.248,6.252
3nxa_5324476_uff_E=298.52,-7.6,0.0,0.0
3nxa_5324476_uff_E=298.52,-7.5,11.508,8.28
3nxa_5324476_uff_E=298.52,-7.4,12.482,9.907
3nxa_5324476_uff_E=298.52,-7.4,11.598,8.232
3nxa_5324476_uff_E=298.52,-7.4,25.676,22.994
3nxa_5324476_uff_E=298.52,-7.3,25.742,21.835
3nxa_5324476_uff_E=298.52,-7.3,25.676,23.099
3nxa_5324476_uff_E=298.52,-7.3,25.817,23.018
3nxa_5324476_uff_E=298.52,-7.2,12.116,7.547
3nxa_5354238_uff_E=176.34,-6.2,0.0,0.0
3nxa_5354238_uff_E=176.34,-5.7,2.661,2.006
3nxa_5354238_uff_E=176.34,-5.7,22.313,19.672
3nxa_5354238_uff_E=176.34,-5.7,18.176,16.522
3nxa_5354238_uff_E=176.34,-5.6,22.036,19.812
3nxa_5354238_uff_E=176.34,-5.5,6.169,1.969
3nxa_5354238_uff_E=176.34,-5.3,5.392,3.353
3nxa_5354238_uff_E=176.34,-5.2,18.237,15.68
3nxa_5354238_uff_E=176.34,-5.1,23.577,20.952
3nxa_3083803_uff_E=451.14,-7.6,0.0,0.0
3nxa_3083803_uff_E=451.14,-7.5,8.08,5.626
3nxa_3083803_uff_E=451.14,-7.5,16.018,13.544
3nxa_3083803_uff_E=451.14,-7.4,25.519,22.536
3nxa_3083803_uff_E=451.14,-7.2,28.257,25.281
3nxa_3083803_uff_E=451.14,-7.1,21.471,16.995
3nxa_3083803_uff_E=451.14,-6.9,25.132,22.782
3nxa_3083803_uff_E=451.14,-6.9,8.793,1.794
3nxa_3083803_uff_E=451.14,-6.8,7.451,3.841
3nxa_14191392_uff_E=279.03,-6.6,0.0,0.0
3nxa_14191392_uff_E=279.03,-6.2,40.576,38.022
3nxa_14191392_uff_E=279.03,-6.0,40.481,38.145
3nxa_14191392_uff_E=279.03,-5.9,34.382,32.367
3nxa_14191392_uff_E=279.03,-5.9,4.188,1.687
3nxa_14191392_uff_E=279.03,-5.9,39.904,38.613
3nxa_14191392_uff_E=279.03,-5.9,33.636,31.602
3nxa_14191392_uff_E=279.03,-5.8,34.363,31.319
3nxa_14191392_uff_E=279.03,-5.8,43.782,41.664
3nxa_2969_uff_E=38.20,-4.8,0.0,0.0
3nxa_2969_uff_E=38.20,-4.7,19.325,17.741
3nxa_2969_uff_E=38.20,-4.7,2.611,1.988
3nxa_2969_uff_E=38.20,-4.5,19.417,17.751
3nxa_2969_uff_E=38.20,-4.4,6.077,3.306
3nxa_2969_uff_E=38.20,-4.4,19.734,18.042
3nxa_2969_uff_E=38.20,-4.3,39.204,37.737
3nxa_2969_uff_E=38.20,-4.2,20.157,18.573
3nxa_2969_uff_E=38.20,-4.2,38.721,37.258
3nxa_1550234_uff_E=727.13,-7.4,0.0,0.0
3nxa_1550234_uff_E=727.13,-7.1,22.018,19.125
3nxa_1550234_uff_E=727.13,-7.0,6.409,5.144
3nxa_1550234_uff_E=727.13,-6.9,21.666,18.727
3nxa_1550234_uff_E=727.13,-6.7,9.679,1.177
3nxa_1550234_uff_E=727.13,-6.6,18.758,15.105
3nxa_1550234_uff_E=727.13,-6.6,20.025,17.493
3nxa_1550234_uff_E=727.13,-6.5,20.391,18.607
3nxa_1550234_uff_E=727.13,-6.5,16.691,15.507
3nxa_8078_uff_E=30.11,-3.9,0.0,0.0
3nxa_8078_uff_E=30.11,-3.9,2.119,0.074
3nxa_8078_uff_E=30.11,-3.9,2.117,0.025
3nxa_8078_uff_E=30.11,-3.9,2.74,0.517
3nxa_8078_uff_E=30.11,-3.9,2.445,0.245
3nxa_8078_uff_E=30.11,-3.7,20.724,19.634
3nxa_8078_uff_E=30.11,-3.7,20.814,19.625
3nxa_8078_uff_E=30.11,-3.7,20.659,19.634
3nxa_8078_uff_E=30.11,-3.7,50.651,49.461
3nxa_196216_uff_E=215.06,-5.5,0.0,0.0
